RelativePath                                                      AOM Annotation
------------                                                      --------------
\Editor.cs                                                        [P] Facade/Central Hub (Singleton) {D} All Modules, NativeInterop (F) Init -> RegisterModules -> EndInit -> Update -> Exit [S] Global Persistent
\Editor.Build.cs                                                  [P] Module Configuration {D} Flax.Build, NativeCpp (F) Setup -> AddPlatformTools -> GetFilesToDeploy [S] Static/Build-time
\ProjectInfo.cs                                                   [P] DTO/Serialization {D} Newtonsoft.Json (F) Load -> ResolveRefs -> Save [S] Persistent (.flaxproj)
\Modules                                                          [P] Modular Kernel {D} Editor (F) Register -> OnInit -> OnUpdate -> OnExit [S] Persistent Lifecycle
\Modules\EditorModule.cs                                          [P] Kernel Lifecycle {D} Editor (F) OnInit -> OnUpdate -> OnExit [S] Managed
\Modules\UIModule.cs                                              [P] Interface Facade {D} MainMenu, MasterDockPanel (F) OnInit -> UpdateToolstrip -> UpdateStatusBar [S] Persistent UI Root
\Modules\WindowsModule.cs                                         [P] Workspace Manager {D} EditorWindow, XmlDocument (F) LoadLayout -> SaveLayout -> Restore [S] Persistent (Layouts)
\Modules\ContentDatabaseModule.cs                                 [P] Service/Registry {D} ProjectFolderTreeNode, ContentProxy (F) OnInit -> LoadProjects -> Rebuild [S] Persistent (Disk-Sync)
\Modules\SceneModule.cs                                           [P] Hierarchy Master {D} RootNode, Level (F) OnSceneLoaded -> BuildTree -> MarkEdited [S] Managed (Living Scenes)
\Modules\SceneEditingModule.cs                                    [P] Interaction Controller {D} SceneGraphNode, Undo (F) Select -> Spawn -> Delete -> Paste [S] Volatile Session State
\Modules\PrefabsModule.cs                                         [P] Manager/Factory {D} Actor, Prefab (F) CreatePrefab -> OnCreated -> ApplyAll [S] Persistent Reference
\Modules\ContentEditingModule.cs                                  [P] Mediator/Router {D} ContentItem, EditorWindow (F) Open -> FindProxy -> Launch Window [S] Volatile
\Modules\ContentImportingModule.cs                                [P] Task Queue/Worker {D} IFileEntryAction, Thread (F) Import -> WorkerMain -> Execute [S] Task-bound
\Modules\ContentFindingModule.cs                                  [P] Search Provider {D} ContentSearchWindow, SceneGraphNode (F) Search (Regex/ID) -> Open [S] Volatile
\Modules\SimulationModule.cs                                      [P] PIE State Machine {D} PlayingState, Level (F) RequestStartPlay -> GoToState [S] Volatile Environment
\Modules\ProgressReportingModule.cs                               [P] Orchestrator {D} ProgressHandler, UIModule (F) RegisterHandler -> UpdateProgress [S] Managed Service
\Modules\ProjectCacheModule.cs                                    [P] Local Storage {D} BinaryReader/Writer (F) Load -> SetCustomData -> AutoSave [S] Persistent (Disk-bound)
\States                                                           [P] Editor Lifecycle FSM {D} EditorStateMachine (F) ChangeState -> OnEnter -> Update -> OnExit [S] Volatile Control State
\States\EditorStateMachine.cs                                     [P] State Manager {D} All EditorStates (F) Update -> SwitchState [S] Persistent
\States\EditorState.cs                                            [P] Abstract State {D} EditorStateMachine (F) Update -> UpdateFPS [S] Managed lifecycle
\States\LoadingState.cs                                           [P] Initial State {D} ScriptsBuilder (F) StartInitEnding -> Compilation -> EndInit [S] Volatile
\States\EditingSceneState.cs                                      [P] Interactive State {D} ScriptsBuilder (F) OnScriptsReloadBegin -> Transition [S] Persistent session
\States\ChangingScenesState.cs                                    [P] Transition State {D} Level (F) Load/Unload Async -> OnSceneEvent [S] Volatile
\States\PlayingState.cs                                           [P] Simulation State {D} DuplicateScenes, GameSettings (F) Duplicate -> InitializePlugins -> Play -> Restore [S] Volatile
\States\ReloadingScriptsState.cs                                  [P] Reload State {D} ScriptsBuilder (F) OnScriptsReloadEnd -> Finish [S] Volatile
\States\BuildingScenesState.cs                                    [P] Composite Build State {D} GeneralOptions (F) CSG -> Env -> Light -> Nav -> Compile [S] Volatile
\States\BuildingLightingState.cs                                  [P] Task State {D} Internal_BakeLightmaps (F) OnEnter -> Bake -> OnExit [S] Volatile
\States\ClosingState.cs                                           [P] Terminal State (F) OnEnter -> Deselect -> Exit [S] Volatile
\States\InvalidStateException.cs                                  [P] Exception [S] N/A
\Scripting                                                        [P] Polyglot Metadata Layer {D} IScriptType, TypeUtils (F) Scan Assemblies -> Wrap -> Reflect [S] Static Registry
\Scripting\ScriptsBuilder.cs                                      [P] Build Process Orchestrator {D} EventType (F) CompilationBegin -> Reload -> End [S] Global Static
\Scripting\ScriptType.cs                                          [P] Metadata Value Object {D} IScriptType, MemberInfo (F) CreateInstance -> GetMembers [S] Managed/Serializable
\Scripting\TypeUtils.cs                                           [P] Reflection Service {D} IScriptTypesContainer (F) GetObjectType -> GetDerivedTypes [S] Static Registry
\Scripting\ScriptType.Custom.cs                                   [P] Adapter [S] N/A
\Scripting\ScriptType.Interfaces.cs                               [P] Interface [S] N/A
\Modules\SourceCodeEditing\CodeEditingModule.cs                   [P] IDE Orchestrator {D} ISourceCodeEditor, CachedTypes (F) SyncOptions -> SelectEditor -> ClearTypes [S] Static Registry
\Modules\SourceCodeEditing\ISourceCodeEditor.cs                   [P] Interface [S] N/A
\Modules\SourceCodeEditing\DefaultSourceCodeEditor.cs             [P] Platform Strategy {D} CodeEditorTypes (F) UpdateCurrentEditor [S] Volatile
\Modules\SourceCodeEditing\InBuildSourceCodeEditor.cs             [P] External Command {D} CodeEditingManager (F) OpenSolution -> OpenFile [S] Volatile
\Modules\SourceCodeEditing\CachedTypesCollection.cs               [P] Registry Cache {D} TypeUtils (F) Get -> Search (Reflection Scan) [S] In-Memory (Assembly-bound)
\Modules\SourceCodeEditing\CachedCustomAnimGraphNodesCollection.cs [P] Reflection Cache {D} NodeArchetype (F) Search -> GetArchetype (Factory Invoke) [S] In-Memory
\Modules\SourceCodeEditing\CodeDocsModule.cs                      [P] Documentation Provider {D} ScriptType, DebugCommands (F) GetTooltip -> XML Doc Fetch [S] In-Memory Cache
\History                                                          [P] Memento/Command Stack {D} IHistoryAction (F) Push -> Undo -> Redo [S] Persistent Session State
\History\HistoryStack.cs                                          [P] Command Stack {D} IHistoryAction (F) Push -> PopHistory -> PopReverse [S] Persistent
\History\IHistoryAction.cs                                        [P] Interface [S] N/A
\History\UndoActionObject.cs                                      [P] Memento Action {D} ObjectSnapshot (F) Undo -> Redo (Swap snapshots) [S] Serialized State
\Undo                                                             [P] Command Pattern {D} HistoryStack, EditorUndo (F) RecordBegin -> Modify -> RecordEnd [S] Persistent Session State
\Undo\EditorUndo.cs                                               [P] Singleton Facade {D} EditorStateMachine, ISceneEditAction (F) CheckSceneEdited (Auto-dirty) [S] Global Persistent
\Undo\Undo.cs                                                     [P] Controller {D} HistoryStack, ObjectSnapshot (F) RecordAction -> RecordBegin -> End [S] Managed
\Undo\IUndoAction.cs                                              [P] Interface [S] N/A
\Undo\ISceneEditAction.cs                                         [P] Interface [S] N/A
\Undo\UndoActionBase.cs                                           [P] Serializable Command {D} SceneTreeNodeConverter (F) Data (JSON Serialize/Deserialize) [S] Serialized
\Undo\MultiUndoAction.cs                                          [P] Composite Command {D} IUndoAction (F) Do -> Undo (Reversed order) [S] Managed
\Undo\UndoBlock.cs                                                [P] RAII Pattern {D} Undo (F) Ctor (Begin) -> Dispose (End) [S] Volatile
\Undo\UndoMultiBlock.cs                                           [P] RAII Pattern {D} Undo (F) Ctor (BeginMulti) -> Dispose (EndMulti) [S] Volatile
\Undo\Actions\TransformObjectsAction.cs                           [P] Performance Command {D} SceneGraphNode, Navigation (F) Do -> Undo -> InvalidateBounds [S] Serialized
\Undo\Actions\DeleteActorsAction.cs                               [P] CRUD Command {D} Actor, SceneGraphFactory (F) Delete -> Create (Restore linkage) [S] Serialized
\Undo\Actions\AddRemoveScriptAction.cs                            [P] CRUD Command {D} Script, TypeUtils (F) DoAdd -> DoRemove [S] Serialized
\Undo\Actions\ParentActorsAction.cs                               [P] Hierarchy Command {D} SceneObject (F) Do (SetParent) -> Undo (Restore transform/order) [S] Serialized
\Undo\Actions\PasteActorsAction.cs                                [P] Factory Command {D} Actor, IdsMapping (F) Do (Duplicate/Paste) -> Undo (Delete) [S] Serialized
\Undo\Actions\EditSplineAction.cs                                 [P] Data Command {D} Spline, BezierCurve (F) Do -> Undo (Swap keyframes) [S] Serialized
\Undo\Actions\ChangeScriptAction.cs                               [P] Property Command {D} Script (F) Do (Enable/Reorder) [S] Serialized
\Undo\Actions\BreakPrefabLinkAction.cs                            [P] Utility Command {D} SceneObject, Prefab (F) DoBreak -> Link [S] Serialized
\Undo\Actions\SelectionChangeAction.cs                            [P] State Command {D} SceneGraphNode [S] Volatile
